species,authors,dates,pages,dois,access dates,status,order,family,common_name
Loriculus sclateri,BirdLife International,2024,e.T22732108A263600510,10.2305/IUCN.UK.2024-2.RLTS.T22732108A263600510.en,7 February 2025,LC,Psittaciformes,Psittacidae,Sula Hanging-parrot
Loriculus stigmatus,BirdLife International,2024,e.T22685389A264123527,10.2305/IUCN.UK.2024-2.RLTS.T22685389A264123527.en,7 February 2025,LC,Psittaciformes,Psittacidae,Sulawesi Hanging-parrot
Loriculus tener,BirdLife International,2021,e.T22685410A216250598,,7 February 2025,LC,Psittaciformes,Psittacidae,Bismarck Hanging-parrot
Loriculus vernalis,BirdLife International,2024,e.T22685366A264115068,10.2305/IUCN.UK.2024-2.RLTS.T22685366A264115068.en,7 February 2025,LC,Psittaciformes,Psittacidae,Vernal Hanging-parrot
Lorius albidinucha,BirdLife International,2024,e.T22684603A259600750,10.2305/IUCN.UK.2024-2.RLTS.T22684603A259600750.en,7 February 2025,NT,Psittaciformes,Psittacidae,White-naped Lory
Lorius chlorocercus,BirdLife International,2021,e.T22684621A200327118,10.2305/IUCN.UK.2021-3.RLTS.T22684621A200327118.en,7 February 2025,LC,Psittaciformes,Psittacidae,Yellow-bibbed Lory
Lorius domicella,BirdLife International,2024,e.T22684586A249452637,10.2305/IUCN.UK.2024-2.RLTS.T22684586A249452637.en,7 February 2025,EN,Psittaciformes,Psittacidae,Purple-naped Lory
Lorius garrulus,BirdLife International,2017,e.T22684581A117219105,10.2305/IUCN.UK.2017-3.RLTS.T22684581A117219105.en,7 February 2025,VU,Psittaciformes,Psittacidae,Chattering Lory
Lorius hypoinochrous,BirdLife International,2024,e.T22684597A264077653,10.2305/IUCN.UK.2024-2.RLTS.T22684597A264077653.en,7 February 2025,LC,Psittaciformes,Psittacidae,Purple-bellied Lory
Lorius lory,BirdLife International,2018,e.T22684594A130100210,10.2305/IUCN.UK.2018-2.RLTS.T22684594A130100210.en,7 February 2025,LC,Psittaciformes,Psittacidae,Black-capped Lory
Loxia curvirostra,BirdLife International,2017,e.T22720646A111131604,10.2305/IUCN.UK.2017-1.RLTS.T22720646A111131604.en,7 February 2025,LC,Passeriformes,Fringillidae,Red Crossbill
Loxia leucoptera,BirdLife International,2017,e.T22728944A111144194,10.2305/IUCN.UK.2017-1.RLTS.T22728944A111144194.en,7 February 2025,LC,Passeriformes,Fringillidae,Two-barred Crossbill
Loxia megaplaga,BirdLife International,2020,e.T22720651A177906022,10.2305/IUCN.UK.2020-3.RLTS.T22720651A177906022.en,7 February 2025,EN,Passeriformes,Fringillidae,Hispaniolan Crossbill
Loxia pytyopsittacus,BirdLife International,2024,e.T22720638A264575418,10.2305/IUCN.UK.2024-2.RLTS.T22720638A264575418.en,7 February 2025,LC,Passeriformes,Fringillidae,Parrot Crossbill
Loxia scotica,BirdLife International,2016,e.T22720641A88690876,10.2305/IUCN.UK.2016-3.RLTS.T22720641A88690876.en,7 February 2025,LC,Passeriformes,Fringillidae,Scottish Crossbill
